;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
no_spp;nama_kebuns;dibayar_kepada;tanggal_spp;no_spk;tgl_spk;tgl_brkhir_spk;no_ba;tgl_ba;tgl_faktur;uraian_spp;nilai_rupiah;tgl_masuk;status pembayaran;DIBAYAR;BELUM DIBAYAR;kategori;jenis dokumen;KATEGORI;NO PO;NO MIRO/SES
13.01/SPP/331/IX/2023;KANDIR;PT Riset Perkebunan Nusantara PPKS;19-Sep-23;170/FP/QL/VIII/2023;29/08/2023;;15/INV/2.2/IX/2023;09/06/2023;;Permintaan pembayaran atas Pengadaan Kecambah Kelapa Sawit dari Pusat Penelitian Kelapa Sawit Kebun Tajati, Longkali, dan Parindu sebanyak 150.000 butir;77.500.000;20/09/2023;SUDAH DIBAYAR;77.500.000;0;Investasi On Farm;Pembangunan bibitan;Investasi On Farm;;
13.03/SPP/769/IX/2023;TAJATI;PT Global Wdya Sinergy;18-Sep-23;;;;;;;Pembayaran rampung atas pembuatan Instalasi pemipaan main Nursery (12 H2) Kebun Tajati Kaltim Kontrak No. 13.03 AB/SP/07/II/2023 tgl. 2 Peb 2023;1.450.368.258;18/09/2023;SUDAH DIBAYAR;1.450.368.258;0;Investasi On Farm;Pembangunan bibitan;Investasi On Farm;;
13.01/SPP/338/IX/2023;NGABANG;CV Multi Indah Lestari;27-Sep-23;;;;;;;Permintaan pembayaran atas Sewa Bulldozer D3 untuk Menggusur Lahan di Afdeling Pembibitan Kebun Ngabang sesuai Surat No. 13.01/SP/Ngaba/291/VIII/2023 tgl. 08 Agustus 2023;26.918.100;29/09/2023;SUDAH DIBAYAR;26.918.100;0;Investasi On Farm;Pembangunan bibitan;Investasi On Farm;;
13.01/SPP/354/X/2023;RIMBA BELIAN;CV Langit Bumi Khatulistiwa;13 Okt 2023;;;;;;;Permintaan pembayaran atas Pengadaan Baby Polybag Kebun Wilayah Kalimantan Barat sesuai SP No. 13.01/SP/KB/IX/2023 tgl. 04 Sept 2023;157.967.208;17/10/2023;SUDAH DIBAYAR;157.967.208;0;Investasi On Farm;Pembangunan bibitan;Investasi On Farm;;
5TAN/SPP/1/I/2024;SUNGAI DEKAN;PT Citra Borneo Khatulistiwa;03-Jan-24;;13.01/SP/Dekan/311/IX/2023;;45172;Dekan/BA-STP/01/X/2023;;Permintaan pembayaran persiapan Lahan Pembibitan di Kebun Sungai Dekan dengan No. Perjanjian 13.01/SP/Dekan/311/IX/2023;178.760.891;01/09/2024;SUDAH DIBAYAR;178.760.891;0;Investasi On Farm;Pembangunan bibitan;Investasi On Farm;;
5TEP/SPP/49/I/2024;DANAU SALAK;PT Global Wdya Sinergy;22-Jan-24;;5TEP/SPJB/18/2023;;;;;Pembayaran rampung atas Pengadaan bahan Instalasi Penyiraman pembibitan tahun 2023 Kebun Danau Salak Kalsel Kontrak No. 5TEP/SPJB/18/2023;310.700.100;23/01/2024;SUDAH DIBAYAR;310.700.100;0;Investasi On Farm;Pembangunan bibitan;Investasi On Farm;;
5TEP/SPP/44/I/2024;KEBUN PAMUKAN;PT Global Wdya Sinergy;22-Jan-24;;;;;;;Pembayaran retensi atas Pembuatan Instalasi Main Nursery Kebun Pamukan Kalsel Kontrak No. 13.03-AB/SP/65/VI/2022;6.833.250;22/01/2024;SUDAH DIBAYAR;6.833.250;0;Investasi On Farm;Pembangunan bibitan;Investasi On Farm;;
5TEP/SPP/48/XII/2023;TAJATI;PT Global Wdya Sinergy;28 Des 2023;;;;;;;Pembayaran retensi atas Pembuatan Instalasi Pemipaan Main Nursery (12 Ha) Kebun Tajati Kaltim Kontrak No. 13.03-AB/SP/07/II/2022;69.668.599;30/01/2024;SUDAH DIBAYAR;69.668.599;0;Investasi On Farm;Pembangunan bibitan;Investasi On Farm;;
5TEP/SPP/90/II/2024;NGABANG;CV Unitwin Indonesia;19-Feb-24;;13.03AB/SP/102/XI/2023;;45247;;;Pembayaran rampung atas Penambahan Instalasi Baru Main Nursery Luas 3,3 Ha Kebun Ngabang Kalbar Kontrak No. 13.03AB/SP/102/XI/2023 tgl. 17-11-2023;282.167.614;19/02/2024;SUDAH DIBAYAR;282.167.614;0;Investasi On Farm;Pembangunan bibitan;Investasi On Farm;;
5TAN/SPP/31/II/2024;DANAU SALAK;CV Kharisma Karya Jaya;06-Feb-24;;13.01/SP/Dasal/298/VIII/2023;;45167;DASAL/BASTP/133/X/2023;;Permintaan pembayaran atas Pekerjaan Pemeliharaan TBM I Kebun Danau Salak SP No. 13.01/SP/Dasal/298/VIII/2023 tgl. 29 Agustus 2023;130.960.945;02/07/2024;SUDAH DIBAYAR;130.960.945;0;Investasi On Farm;Pemel TBM diluar Pupuk;Investasi On Farm;;
