,,,,,,,,,,,,,,,,,,,,6.246.499.443,,,,,,,,,0,,0,,0,,0,,0,,0,,0,0,,6.246.499.443,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2716_2024,25 Mei 2024,5SDM/SPP/445/V/2024,OPEX,Koperasi Karyawan Sejahtera PTPN XIII ,,,,,,,Pembayaran Alat Perlindungan Diri (APD) untuk Sertifikasi RSPO di PKS Gunung Meliau,51.485.077,KEUANGAN,29/05/2024,23/12/2024,,51.485.077,51.485.077,0,4100272277,5201379198,0,0,,,,,,,,,,,,,,,,,51.485.077,06/05/2025,51.485.077,0,0,Biaya Pengendalian Lingkungan (ISO 14000),,0,0,0,0,0,0,51.485.077,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  51.485.077 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  51.485.077 ,  51.485.077 ,  - 
1,6334_2024,14 Nov 2024,5AKN/SPP/236/X/2024,OPEX,PT Bosowa Asuransi,,,,,,,Pembayaran atas Tagihan Asuransi periode 18 Oktober 2024 s.d. 18 Oktober 2025 sesuai Surat No. 000069/DN/16/10/24 tgl. 21 Oktober 2024,1.345.815,KEUANGAN,14/11/2024,14/11/2024,,1.345.815,1.345.815,0,,,,0,,,,,,,,,,,,,,,,,1.345.815,23/12/2024,1.345.815,0,0,Biaya Premi Asuransi,,0,0,0,0,0,0,0,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  1.345.815 ,  1.345.815 ,  1.345.815 ,  - ,0,0,0,0,0,0,0,0,0,0,0,0,,  1.345.815 ,0
1,6335_2024,14 Nov 2024,5AKN/SPP/237/X/2024,OPEX,PT Asuransi Jasa Tania Tbk,,,,,,,Pembayaran atas Tagihan Premi Asuransi Jenis PSAKI dan Heavy Equipment periode Oktober tahun 2023-2024 sesuai Surat No. 113/KC-PTk/UW/XII/2023 tgl. 20 November 2023,80.933.284,KEUANGAN,14/11/2024,14/11/2024,,80.933.284,80.933.284,0,,,,0,,,,,,,,,,,,,,,,,80.933.284,16/01/2025,80.933.284,0,0,Biaya Premi Asuransi,,0,0,0,0,0,0,80.933.284,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  80.933.284 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  80.933.284 ,  80.933.284 ,  - 
1,6533_2024,20 Nov 2024,5SKH/SPP/1008/XI/2024,OPEX,PT Celebes Borneo Putra Perkasa,5KPM/SPJ/04/VI/2024,21/06/2024,30/09/2024,0074/BAST/PTPNIV/BE-CBPP/IX/2024,30/09/2024,,Biaya Penggunaan Jasa Satuan Pengamanan Kebun Pamukan periode bulan September 2024,58.529.122,KEUANGAN,21/11/2024,22/11/2024,,58.529.122,58.529.122,0,4100263889,5015099750,,0,,,,,,,,,,,,,,,,,58.529.122,25/11/2024,58.529.122,0,0,Biaya Keamanan,,0,0,0,0,0,0,0,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  58.529.122 ,  - ,  58.529.122 ,  58.529.122 ,  - ,0,0,0,0,0,0,0,0,0,0,0,0,,  58.529.122 ,0
1,6532_2024,20 Nov 2024,5SKH/SPP/1009/XI/2024,OPEX,PT Celebes Borneo Putra Perkasa,5PPM/SPJ/14/VI/2024,21/06/2024,30/09/2024,0075/BAST/PTPN/IV/BE-CBPP/IX/2024,30/09/2024,,Biaya Penggunaan Jasa Satuan Pengamanan PKS Pamukan periode bulan September 2024,34.525.806,KEUANGAN,21/11/2024,,,0,34.525.806,0,4100265322,5015203731,,0,,,,,,,,,,,,,,,,,34.525.806,25/11/2024,34.525.806,0,0,Biaya Keamanan,,0,0,0,0,0,0,0,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  34.525.806 ,  - ,  34.525.806 ,  34.525.806 ,  - ,0,0,0,0,0,0,0,0,0,0,0,0,,  34.525.806 ,0
1,6547_2024,20 Nov 2024,5SKH/SPP/1010/XI/2024,OPEX,PT Aitara Wira Karta,13.00/SP/21/VII/2023,24/07/2023,,15/BA-STHPB/X/2024,31/10/2024,,Jasa Pengamanan Khusus Kebun/Unit Wilayah Kalimantan Barat periode Oktober 2024,938.774.775,KEUANGAN,21/11/2024,22/11/2024,,938.774.775,938.774.775,0,4100265673,5015214173,,0,,,,,,,,,,,,,,,,,938.774.775,20/12/2024,938.774.775,0,0,Biaya Keamanan,,0,0,0,0,0,0,0,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  938.774.775 ,  938.774.775 ,  938.774.775 ,  - ,0,0,0,0,0,0,0,0,0,0,0,0,,  938.774.775 ,0
1,6548_2024,20 Nov 2024,5SKH/SPP/1011/XI/2024,OPEX,PT Jaya Wira Manggala,Tidak ada di lampirkan,24/09/2024,24/10/2024,,30/09/2024,,Jasa Pengamanan Terpadu Kebun Unit Wilayah Kalimantan Timur dan Kebun Pelaihari periode September 2024,1.364.526.520,KEUANGAN,21/11/2024,25/11/2024,,1.364.526.520,1.364.526.520,0,4100265661,,,0,,,,,,,,,,,,,,,,,1.364.526.520,02/12/2024,1.364.526.520,0,0,Biaya Keamanan,,0,0,0,0,0,0,0,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  1.364.526.520 ,  1.364.526.520 ,  1.364.526.520 ,  - ,0,0,0,0,0,0,0,0,0,0,0,0,,  1.364.526.520 ,0
1,5861_2024,9 Okt 2024,5PMB/SPP/04/X/2024,OPEX,KJPP Karmanto & Rekan,,,,,,,Pembayaran Pekerjaan Penilaian Kajian Sewa Tangki Timbun IPP Tayan Kabupaten Sanggau Kajian Sewa Tangki Timbun IPP Tayan PTPN IV Region V Kabupaten Sanggau sesuai Memo No. 5PMB/5SBS/M-58/X/2024,24.058.558,KEUANGAN,21/10/2024,,"untuk dibuat PO.sdh di lengkapi tgl 7/11, Po sdh di lengkapi tgl 7/11, untuk PO di TTD Pejabat terkait kembali ke rensus 25/11/24",0,24.058.558,0,,,,0,,,,,,,,,,,,,,,,,24.058.558,17/12/2024,24.058.558,0,0,Biaya Konsultan,,0,0,0,0,0,0,0,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  24.058.558 ,  24.058.558 ,  24.058.558 ,  - ,0,0,0,0,0,0,0,0,0,0,0,0,,  24.058.558 ,0
1,4531_2024,21 Agu 2024,5PMO-BBI/SPP/04/VIII/2024,OPEX,KJPP Sugianto Prasodjo,,,,,,,Pembayaran Pekerjaan Penilaian Kelayakan Nilai Sewa Lahan dan Bangunan di Kota Sintang PTPN IV Regional V di Kota Sintang Memo No. 5PMO-BBL/5SBS/M-21/VIII/2024,22.092.594,KEUANGAN,22/08/2024,29/08/2024,,22.092.594,22.092.594,0,,,,0,,,,,,,,,,,,,,,,,22.092.594,17/12/2024,22.092.594,0,0,Biaya Konsultan,,0,0,0,0,0,0,0,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  22.092.594 ,  22.092.594 ,  22.092.594 ,  - ,0,0,0,0,0,0,0,0,0,0,0,0,,  22.092.594 ,0
1,3707_2023,14 Jun 2023,13.07/SPP/25/VI/2023,OPEX,KJPP Iwan Bachron & Rekan,,,,,,,Pembayaran Tahap II (70%) atas Pekerjaan Kajian Kalayakan Kompensasi Pendayagunaan Tanah atas Kegiatan Pertambangan Batubara di Areal HGU Kebun Tabara Kaltim PTPN XIII sesuai Surat No. 13.07/SP/12/XII/2022,125.132.000,KEUANGAN,26/06/2023,30/06/2023,,125.132.000,125.132.000,0,,,0,0,,,,,,,,,,,,,,,,,125.132.000,26/02/2025,125.132.000,0,0,Pekerjaan Investasi Off Farm Lainnya,,0,0,0,0,0,0,125.132.000,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  125.132.000 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  125.132.000 ,  125.132.000 ,  - 
1,3704_2023,14 Jun 2023,13.07/SPP/22/VI/2023,OPEX,KJPP Iwan Bachron & Rekan,,,,,,,Pembayaran Tahap I (30%) atas Pekerjaan Kajian Kelayakan Kompensasi Pendayagunaan Tanah atas Kegiatan Pertambangan Batubara di Areal Hak Guna Usaha (HGU) Kebun Tabara Kaltim PTPN XIII sesuai Perjanjian No. 13.07/SP/13/XII/2022,53.628.000,KEUANGAN,26/06/2023,30/06/2023,,53.628.000,53.628.000,0,,,0,0,,,,,,,,,,,,,,,,,53.628.000,26/02/2025,53.628.000,0,0,Pekerjaan Investasi Off Farm Lainnya,,0,0,0,0,0,0,53.628.000,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  53.628.000 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  53.628.000 ,  53.628.000 ,  - 
1,3706_2023,14 Jun 2023,13.07/SPP/24/VI/2023,OPEX,KJPP Iwan Bachron & Rekan,,,,,,,Pembayaran Tahap II (70%) atas Pekerjaan Penilaian Kelayakan Penetapan Kompensasi Kerja Sama di Areal Hak Guna Usaha (HGU) Kebun Danau Salak Kalsel PTPN XIII sesuai Surat No. 13.07/SP/13/XII/2022,125.132.000,KEUANGAN,26/06/2023,30/06/2023,,125.132.000,125.132.000,0,,,0,0,,,,,,,,,,,,,,,,,125.132.000,13/06/2025,125.132.000,0,0,Pekerjaan Investasi Off Farm Lainnya,,0,0,0,0,0,0,125.132.000,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  125.132.000 ,  - ,  - ,  - ,  - ,  - ,  - ,  125.132.000 ,  125.132.000 ,  - 
1,3705_2023,14 Jun 2023,13.07/SPP/23/VI/2023,OPEX,KJPP Iwan Bachron & Rekan,,,,,,,Pembayaran Tahap I (30%) atas Pekerjaan Kajian Kelayakan Kompensasi Pendayagunaan Tanah atas Kegiatan Pertambangan Batubara di Areal Hak Guna Usaha (HGU) Kebun Tabara Kaltim PTPN XIII sesuai Perjanjian No. 13.07/SP/12/XII/2022,53.628.000,KEUANGAN,26/06/2023,30/06/2023,,53.628.000,53.628.000,0,,,0,0,,,,,,,,,,,,,,,,,53.628.000,13/06/2025,53.628.000,0,0,Pekerjaan Investasi Off Farm Lainnya,,0,0,0,0,0,0,53.628.000,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  53.628.000 ,  - ,  - ,  - ,  - ,  - ,  - ,  53.628.000 ,  53.628.000 ,  - 
